K,active_count,bridge_sequence,bridge_serialized_bits,certificate_kind,certificate_status,coefficient_span,compiler,compiler_class,cx,delta_over_pi,density_realized,density_requested,depth,design_index,error_budget,formal_theorem_evidence,gates,input_ir_bytes,ir_bytes,m,memory_cap_bytes,n,output_ir_bytes,output_serialized_bits,r,representation,representation_sha256,rss_peak_bytes,runtime_s,schedule,seed,serialized_input_bits,status,target_id,timeout_s,wall_runtime_s,x_distribution
4,1,"QASM2 -> exact parity/phase table -> {cx,rz} lowering",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",phase_polynomial_reference,instrumented global phase table,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,bridge_qasm2,ff7535accf7275ae2510cc9063b2d188355542136742fe1f14dab1f0e3414220,74137600,0.082635,bridge_qasm2,20260801,744,completed,ux-ef0ba76c8cc2d18d,30.0,0.146894,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> ZX graph/full_reduce/extract_circuit -> {cx,rz,h}",744,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",pyzx_full_reduce,external ZX/global-IR semantic,2,1/16,0.25,0.25,11,0,0,False,13,93,174,4,2147483648,5,174,1392,2,bridge_qasm2,ff7535accf7275ae2510cc9063b2d188355542136742fe1f14dab1f0e3414220,109854720,0.198938,bridge_qasm2,20260801,744,completed,ux-ef0ba76c8cc2d18d,30.0,0.291733,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> qiskit transpile opt3 -> {cx,rz,h}",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",qiskit_opt3,configured local/preset diagnostic,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,bridge_qasm2,ff7535accf7275ae2510cc9063b2d188355542136742fe1f14dab1f0e3414220,76267520,0.093537,bridge_qasm2,20260801,744,completed,ux-ef0ba76c8cc2d18d,30.0,0.149607,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"decode codec -> exact support table -> {cx,rz} lowering",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",semantic_reference,instrumented semantic reference,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,bridge_qasm2,ff7535accf7275ae2510cc9063b2d188355542136742fe1f14dab1f0e3414220,74186752,0.082177,bridge_qasm2,20260801,744,completed,ux-ef0ba76c8cc2d18d,30.0,0.142507,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> TKET DecomposeBoxes/PauliSimp -> {cx,rz,h}",744,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",tket_paulisimp,external Pauli-network/global semantic,2,1/16,0.25,0.25,9,0,0,False,33,93,494,4,2147483648,5,494,3952,2,bridge_qasm2,ff7535accf7275ae2510cc9063b2d188355542136742fe1f14dab1f0e3414220,123961344,0.261653,bridge_qasm2,20260801,744,completed,ux-ef0ba76c8cc2d18d,30.0,0.344317,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> exact parity/phase table -> {cx,rz} lowering",1296,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",phase_polynomial_reference,instrumented global phase table,2,1/16,0.25,0.25,3,0,0,True,3,162,162,4,2147483648,5,93,744,2,contiguous_flat,e1fa195f60cf67d9d181a41e2ddea80c53c1c320df85b7d4079ba2221d34e22a,74219520,0.081934,contiguous_flat,20260801,344,completed,ux-ef0ba76c8cc2d18d,30.0,0.148992,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> ZX graph/full_reduce/extract_circuit -> {cx,rz,h}",1296,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",pyzx_full_reduce,external ZX/global-IR semantic,2,1/16,0.25,0.25,11,0,0,False,13,162,174,4,2147483648,5,174,1392,2,contiguous_flat,e1fa195f60cf67d9d181a41e2ddea80c53c1c320df85b7d4079ba2221d34e22a,109969408,0.197474,contiguous_flat,20260801,344,completed,ux-ef0ba76c8cc2d18d,30.0,0.29388,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> qiskit transpile opt3 -> {cx,rz,h}",1296,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",qiskit_opt3,configured local/preset diagnostic,2,1/16,0.25,0.25,3,0,0,True,3,162,162,4,2147483648,5,93,744,2,contiguous_flat,e1fa195f60cf67d9d181a41e2ddea80c53c1c320df85b7d4079ba2221d34e22a,74629120,0.093163,contiguous_flat,20260801,344,completed,ux-ef0ba76c8cc2d18d,30.0,0.146814,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"decode codec -> exact support table -> {cx,rz} lowering",1296,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",semantic_reference,instrumented semantic reference,2,1/16,0.25,0.25,3,0,0,True,3,162,162,4,2147483648,5,93,744,2,contiguous_flat,e1fa195f60cf67d9d181a41e2ddea80c53c1c320df85b7d4079ba2221d34e22a,74088448,0.081742,contiguous_flat,20260801,344,completed,ux-ef0ba76c8cc2d18d,30.0,0.138918,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> TKET DecomposeBoxes/PauliSimp -> {cx,rz,h}",1296,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",tket_paulisimp,external Pauli-network/global semantic,2,1/16,0.25,0.25,9,0,0,False,33,162,494,4,2147483648,5,494,3952,2,contiguous_flat,e1fa195f60cf67d9d181a41e2ddea80c53c1c320df85b7d4079ba2221d34e22a,123961344,0.26083,contiguous_flat,20260801,344,completed,ux-ef0ba76c8cc2d18d,30.0,0.341176,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> exact parity/phase table -> {cx,rz} lowering",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",phase_polynomial_reference,instrumented global phase table,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,locally_folded,ff8727ef8a6e568aecda33b99c61434f110e67360e66b44e89c8a70d8d0fe939,74153984,0.081636,locally_folded,20260801,264,completed,ux-ef0ba76c8cc2d18d,30.0,0.151542,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> ZX graph/full_reduce/extract_circuit -> {cx,rz,h}",744,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",pyzx_full_reduce,external ZX/global-IR semantic,2,1/16,0.25,0.25,11,0,0,False,13,93,174,4,2147483648,5,174,1392,2,locally_folded,ff8727ef8a6e568aecda33b99c61434f110e67360e66b44e89c8a70d8d0fe939,109953024,0.198586,locally_folded,20260801,264,completed,ux-ef0ba76c8cc2d18d,30.0,0.283699,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> qiskit transpile opt3 -> {cx,rz,h}",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",qiskit_opt3,configured local/preset diagnostic,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,locally_folded,ff8727ef8a6e568aecda33b99c61434f110e67360e66b44e89c8a70d8d0fe939,74612736,0.093304,locally_folded,20260801,264,completed,ux-ef0ba76c8cc2d18d,30.0,0.148388,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"decode codec -> exact support table -> {cx,rz} lowering",744,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",semantic_reference,instrumented semantic reference,2,1/16,0.25,0.25,3,0,0,True,3,93,93,4,2147483648,5,93,744,2,locally_folded,ff8727ef8a6e568aecda33b99c61434f110e67360e66b44e89c8a70d8d0fe939,74072064,0.082683,locally_folded,20260801,264,completed,ux-ef0ba76c8cc2d18d,30.0,0.147149,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> TKET DecomposeBoxes/PauliSimp -> {cx,rz,h}",744,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",tket_paulisimp,external Pauli-network/global semantic,2,1/16,0.25,0.25,9,0,0,False,33,93,494,4,2147483648,5,494,3952,2,locally_folded,ff8727ef8a6e568aecda33b99c61434f110e67360e66b44e89c8a70d8d0fe939,123879424,0.261673,locally_folded,20260801,264,completed,ux-ef0ba76c8cc2d18d,30.0,0.339527,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> exact parity/phase table -> {cx,rz} lowering",1120,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",phase_polynomial_reference,instrumented global phase table,2,1/16,0.25,0.25,3,0,0,True,3,140,140,4,2147483648,5,93,744,2,masked_share_flat,f62dd51287777e485892d93722fc87e23aa0edec9ca69395b9ecab370c511b27,74170368,0.082397,masked_share_flat,20260801,360,completed,ux-ef0ba76c8cc2d18d,30.0,0.151651,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> ZX graph/full_reduce/extract_circuit -> {cx,rz,h}",1120,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",pyzx_full_reduce,external ZX/global-IR semantic,2,1/16,0.25,0.25,11,0,0,False,13,140,174,4,2147483648,5,174,1392,2,masked_share_flat,f62dd51287777e485892d93722fc87e23aa0edec9ca69395b9ecab370c511b27,110051328,0.198862,masked_share_flat,20260801,360,completed,ux-ef0ba76c8cc2d18d,30.0,0.297819,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> qiskit transpile opt3 -> {cx,rz,h}",1120,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",qiskit_opt3,configured local/preset diagnostic,2,1/16,0.25,0.25,3,0,0,True,3,140,140,4,2147483648,5,103,824,2,masked_share_flat,f62dd51287777e485892d93722fc87e23aa0edec9ca69395b9ecab370c511b27,76070912,0.093499,masked_share_flat,20260801,360,completed,ux-ef0ba76c8cc2d18d,30.0,0.148144,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"decode codec -> exact support table -> {cx,rz} lowering",1120,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",semantic_reference,instrumented semantic reference,2,1/16,0.25,0.25,3,0,0,True,3,140,140,4,2147483648,5,93,744,2,masked_share_flat,f62dd51287777e485892d93722fc87e23aa0edec9ca69395b9ecab370c511b27,74137600,0.082529,masked_share_flat,20260801,360,completed,ux-ef0ba76c8cc2d18d,30.0,0.149511,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> TKET DecomposeBoxes/PauliSimp -> {cx,rz,h}",1120,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",tket_paulisimp,external Pauli-network/global semantic,2,1/16,0.25,0.25,9,0,0,False,33,140,504,4,2147483648,5,504,4032,2,masked_share_flat,f62dd51287777e485892d93722fc87e23aa0edec9ca69395b9ecab370c511b27,123863040,0.262435,masked_share_flat,20260801,360,completed,ux-ef0ba76c8cc2d18d,30.0,0.349904,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> exact parity/phase table -> {cx,rz} lowering",1296,exact_cnot_rz,passed,"[0,pi/4); no 2pi target wraparound",phase_polynomial_reference,instrumented global phase table,2,1/16,0.25,0.25,3,0,0,True,3,162,162,4,2147483648,5,93,744,2,random_commuting_order,b55ce39e3745aa9520ab5d144105c2330f849d5f0106b9d13184348c5bcdcdff,74186752,0.082095,random_commuting_order,20260801,400,completed,ux-ef0ba76c8cc2d18d,30.0,0.148276,"uniform on {1,...,K-1} over an exact-size uniform support sample"
4,1,"QASM2 -> ZX graph/full_reduce/extract_circuit -> {cx,rz,h}",1296,dense_unitary_diagnostic,passed,"[0,pi/4); no 2pi target wraparound",pyzx_full_reduce,external ZX/global-IR semantic,2,1/16,0.25,0.25,11,0,0,False,13,162,174,4,2147483648,5,174,1392,2,random_commuting_order,b55ce39e3745aa9520ab5d144105c2330f849d5f0106b9d13184348c5bcdcdff,109838336,0.198204,random_commuting_order,20260801,400,completed,ux-ef0ba76c8cc2d18d,30.0,0.291176,"uniform on {1,...,K-1} over an exact-size uniform support sample"
